X,east_of_akbuura
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,1
132,0
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,0
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,1
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,1
